language,group,label,n,mean_probability,median_probability,min_probability,max_probability
en,indic_synth_en_0,1,10,0.9504007909887058,0.9630716996629269,0.8565584797745599,0.9842498636722663
en,indic_synth_en_1,1,10,0.887462436787394,0.9124394532514137,0.7108761127043746,0.9847044362039129
en,indic_synth_en_10,1,10,0.7880245793687017,0.8887934914285304,0.18220574541611892,0.9665384191101078
en,indic_synth_en_11,1,10,0.7860365031768838,0.826085617239585,0.44513415754662095,0.9621882994354356
en,indic_synth_en_12,1,10,0.7741568620012362,0.8583970966861276,0.3000720049186953,0.9826449464542604
en,indic_synth_en_13,1,10,0.8839386013272994,0.9158177532282834,0.6478902300413366,0.9696884014785068
en,indic_synth_en_14,1,10,0.9260909024560979,0.9555532025067881,0.6739556819131197,0.9783211688972029
en,indic_synth_en_2,1,10,0.7980964129551967,0.875968861296835,0.31960563309570567,0.9881637827882453
en,indic_synth_en_3,1,10,0.7778040799870818,0.8818476768174363,0.11417299382063542,0.9818581871369418
en,indic_synth_en_4,1,10,0.8890226318655333,0.9336517028808196,0.6921868778708802,0.9918205913829073
en,indic_synth_en_5,1,10,0.946344876453019,0.9683581981923068,0.8187164753057142,0.9897648934945718
en,indic_synth_en_6,1,10,0.8205764034664693,0.9265177758017282,0.10192307668296978,0.9854438761259962
en,indic_synth_en_7,1,10,0.7927096641313025,0.9056290222758434,0.13011840057699497,0.984629973106129
en,indic_synth_en_8,1,10,0.906093411846846,0.976759185160022,0.5456417566020997,0.9825604653000052
en,indic_synth_en_9,1,10,0.8671834920177552,0.9600984163221941,0.11987889895573671,0.9852695367407465
en,svarah_0,0,8,0.24624437733898819,0.07302369478755896,0.0038104968643672458,0.8919464088837716
en,svarah_1,0,8,0.23423591667811444,0.1855131980050524,0.005058656240401492,0.8912913995689327
en,svarah_10,0,7,0.0548716808111749,0.04195467445686419,0.0028002902100704953,0.11302006743524295
en,svarah_11,0,7,0.15159411989417731,0.016831454771517696,0.0027278819569293536,0.5942258606022964
en,svarah_12,0,7,0.1891915839323855,0.13823184394089547,0.0032106407266806716,0.4982400633301409
en,svarah_13,0,7,0.08947442395582099,0.008812060732694327,0.0025805092170163076,0.3234783692661197
en,svarah_14,0,7,0.19088745993518258,0.08154987054201243,0.0048266063953653635,0.7825904700181493
en,svarah_15,0,7,0.045016277249531465,0.03144526827707632,0.0023498605072777247,0.14391083512844918
en,svarah_16,0,7,0.13226314957577504,0.07524809819439715,0.02230663866659894,0.43015844380973955
en,svarah_17,0,7,0.19103489684601568,0.07637803529961136,0.0047793266408214935,0.9064441255373127
en,svarah_18,0,7,0.16331038152736674,0.015285885344280827,0.003347081416182576,0.925335285793622
en,svarah_19,0,7,0.07127336453052978,0.04763514162663401,0.004481946368163153,0.19164131263726616
en,svarah_2,0,8,0.08226834036498673,0.06908396022034337,0.001953828960052169,0.21721988772887427
en,svarah_3,0,8,0.2880935744979679,0.19109466164531677,0.0024756959486150008,0.761951808822106
en,svarah_4,0,8,0.1574952971336602,0.013370144844226085,0.004851277374094908,0.7889036879196574
en,svarah_5,0,8,0.17963979312984243,0.14069340315660328,0.00203765052366242,0.611510069892243
en,svarah_6,0,8,0.052620953493976066,0.04182473826270676,0.004717531893915951,0.11556453389680665
en,svarah_7,0,8,0.23178462586485732,0.13806245438099185,0.0032039042262519152,0.68521920456933
en,svarah_8,0,8,0.16480086568854835,0.07205020643736273,0.021855870157549667,0.7709137422588958
en,svarah_9,0,8,0.21738233868174683,0.09804542606758791,0.01101661186026471,0.6337897947778499
en,west_real_0,0,10,0.1619718442981695,0.03352776033387177,0.008568107244893276,0.8425204675923347
en,west_real_1,0,10,0.2427975726275481,0.1441877710401855,0.0016409770567172635,0.9514473331841964
en,west_real_10,0,10,0.1504316242653619,0.0824026914986507,0.009942890161884415,0.6496900266125137
en,west_real_11,0,10,0.21466568319592821,0.103750458883274,0.002668313824382373,0.9295403189291838
en,west_real_12,0,10,0.24851808119405652,0.0807989229586275,0.003797063283084531,0.9403364229748571
en,west_real_13,0,10,0.12364975516457657,0.1045057118738619,0.008778432715123852,0.3578868360785578
en,west_real_14,0,10,0.22741792655026943,0.2098670392969945,0.0021771702677655146,0.6113866952547957
en,west_real_2,0,10,0.3150202540159547,0.35412995887502646,0.006585264192806236,0.7192668183510034
en,west_real_3,0,10,0.28568634604321996,0.08036248996010699,0.004721395949780175,0.8620055441132997
en,west_real_4,0,10,0.18404060652695337,0.026573087692677626,0.005248688853993082,0.7793676154349257
en,west_real_5,0,10,0.18578364476889486,0.09481080657892282,0.005131910644195893,0.7593393954507087
en,west_real_6,0,10,0.26830719147916426,0.03614263454749258,0.00636232329634734,0.8593026128235455
en,west_real_7,0,10,0.3640297984964739,0.18313145047154816,0.005026192647085226,0.935383347470378
en,west_real_8,0,10,0.26282416178692153,0.08650094294837267,0.007789677018114249,0.9151518058129396
en,west_real_9,0,10,0.1963771591925853,0.03315298908958716,0.005038926699418402,0.9607308738177486
en,west_synth_0,1,10,0.8576819092689764,0.9216322773537958,0.3997096971964026,0.9815918504572055
en,west_synth_1,1,10,0.7443591444709152,0.8250784566140399,0.21785434097120338,0.9764188402192079
en,west_synth_10,1,10,0.8121231052469661,0.8795882694586967,0.2861901918413516,0.9918284264581965
en,west_synth_11,1,10,0.7240919025088959,0.8928517870401953,0.01641781021480794,0.9927480088656717
en,west_synth_12,1,10,0.8456636742545569,0.9168926137926332,0.43625828644207254,0.9786572895941712
en,west_synth_13,1,10,0.7282499838902107,0.9110855186259709,0.028014996761389927,0.9887975162682763
en,west_synth_14,1,10,0.8047349967819717,0.9397232936392572,0.1827781054090886,0.9833110748724803
en,west_synth_2,1,10,0.7775639058302238,0.9104695458516094,0.3257371620426224,0.9892352532795554
en,west_synth_3,1,10,0.8103282335047366,0.8735922987408455,0.432607040332719,0.9881983546080733
en,west_synth_4,1,10,0.7909513344507834,0.9280645251936379,0.2638142772978126,0.9891651509945201
en,west_synth_5,1,10,0.77477013166751,0.8226076392493579,0.05584657703843581,0.9940886875382696
en,west_synth_6,1,10,0.8111852012637341,0.9284898132571922,0.22988498378116656,0.9737255855919347
en,west_synth_7,1,10,0.660413756113936,0.9477339454058735,0.0368705434680371,0.9927272812883712
en,west_synth_8,1,10,0.8350746144392496,0.9106235419595868,0.5410933594862055,0.9891191139015441
en,west_synth_9,1,10,0.8076438152375683,0.8879353402924411,0.10509069563222982,0.9897341509532037
hi,real_hi_0,0,15,0.31500808483697096,0.3029375819876945,0.056022164356929416,0.8223371229222437
hi,real_hi_1,0,15,0.3281879820081599,0.3428555547925619,0.1172522397083841,0.5691226966556806
hi,real_hi_10,0,15,0.3451368450663613,0.2308015019861459,0.08584718710768789,0.9448033784457674
hi,real_hi_11,0,15,0.35696024610276544,0.16011420316874264,0.05198892040803798,0.9709851890469471
hi,real_hi_12,0,15,0.2652214988408159,0.181464483212826,0.05610552198326691,0.8160976304045389
hi,real_hi_13,0,15,0.4437400820641277,0.34603572412935185,0.07998731089123927,0.9321206098839168
hi,real_hi_14,0,15,0.35092347127164836,0.38009518211521226,0.045334809344520687,0.8107293685614432
hi,real_hi_15,0,15,0.3580768380416114,0.18017045040782287,0.03367153446342176,0.9541125843970027
hi,real_hi_16,0,15,0.3567532632486653,0.2476128297158741,0.07163208920758818,0.9329909857201205
hi,real_hi_17,0,15,0.3367461992749599,0.173221347905646,0.03183994637459703,0.9571501189639494
hi,real_hi_18,0,15,0.329551474132009,0.24412098660437564,0.04606318367452331,0.8159978630435827
hi,real_hi_19,0,15,0.3621572461758259,0.3000490111416305,0.027785438953713566,0.9651094125848919
hi,real_hi_2,0,15,0.29041592976071584,0.24474434516752563,0.049180515743549744,0.893168739952404
hi,real_hi_3,0,15,0.2830880340308554,0.18635393047196536,0.05588910896541211,0.7616953558700901
hi,real_hi_4,0,15,0.18847142087978716,0.18261028215720052,0.06764669423429785,0.369992564905516
hi,real_hi_5,0,15,0.3299730331354051,0.21583050992238573,0.016563612221895747,0.8482600227129848
hi,real_hi_6,0,15,0.3388429251432096,0.1994220978366523,0.05798393277864774,0.9335751404728178
hi,real_hi_7,0,15,0.4490909586092471,0.3882830356915385,0.0487673482017813,0.9536144603477462
hi,real_hi_8,0,15,0.41781970356319914,0.36106761833675355,0.044556545911844846,0.9339078950347987
hi,real_hi_9,0,15,0.39975395087370863,0.43004897324543934,0.06788625412678413,0.8310130344575027
hi,synth_hi_0,1,15,0.7419937019361061,0.8826721749849001,0.1732985123604832,0.9634956519171786
hi,synth_hi_1,1,15,0.7066738867564494,0.8188934276185911,0.27230589466645927,0.9297930524969776
hi,synth_hi_10,1,15,0.6211521657074212,0.6903981071945077,0.016237711582627053,0.9319348471510096
hi,synth_hi_11,1,15,0.6375623539603414,0.6402316296048998,0.22154047836364402,0.954116694466888
hi,synth_hi_12,1,15,0.6282723469494608,0.7115474066262135,0.04894565911574647,0.9787245014936469
hi,synth_hi_13,1,15,0.6308884830926117,0.66847515460707,0.041999802523227686,0.9758261336968044
hi,synth_hi_14,1,15,0.609348183872493,0.6749268052193385,0.2461564723199532,0.8415172103706098
hi,synth_hi_15,1,15,0.6615537803656787,0.7579615681385321,0.08840634517968664,0.9667651240514462
hi,synth_hi_16,1,15,0.6360911342905304,0.783438013338862,0.06651459561822261,0.9330036092064194
hi,synth_hi_17,1,15,0.7013995932132263,0.8155247422761704,0.08051555540593443,0.9617090003479121
hi,synth_hi_18,1,15,0.7480229711017048,0.7679100320393847,0.36793980235898344,0.89819131840381
hi,synth_hi_19,1,15,0.7273422576747813,0.7719746531234871,0.3042110776649499,0.9289168526509685
hi,synth_hi_2,1,15,0.6348785343637844,0.6968448097421811,0.016846298079685743,0.9477260378762592
hi,synth_hi_3,1,15,0.678646121319586,0.6838803341965687,0.30623978061784596,0.9466404121273061
hi,synth_hi_4,1,15,0.6381518793924814,0.665934117103837,0.06132598181334222,0.9754693009077373
hi,synth_hi_5,1,15,0.5929911864830915,0.6063092552097481,0.029622678147622723,0.9279174661460119
hi,synth_hi_6,1,15,0.6432996213789949,0.8648425022801793,0.07892995700241805,0.9245669545260009
hi,synth_hi_7,1,15,0.673917590710587,0.7377113893260828,0.03863602955230521,0.9629161230059495
hi,synth_hi_8,1,15,0.6992255916993833,0.8439071321409978,0.02357340253183422,0.971231536423873
hi,synth_hi_9,1,15,0.6939782588976232,0.8284612489633549,0.04209818197255826,0.9376869831080932
ta,indicvoices_ta_0,0,15,0.09324141777193641,0.006416408048743464,0.0011834251694466324,0.48049814511049194
ta,indicvoices_ta_1,0,15,0.08380628699711597,0.010164731234363358,0.002143701934996689,0.7341852461802697
ta,indicvoices_ta_10,0,15,0.10379124723399748,0.008560864848693145,0.0011209604993875656,0.7398266191877811
ta,indicvoices_ta_11,0,15,0.12140489958104277,0.012522054842326217,0.002091731125075362,0.6562058402457916
ta,indicvoices_ta_12,0,15,0.09159248528040478,0.006778723868633412,0.0015172573047373612,0.924896336162033
ta,indicvoices_ta_13,0,15,0.06946049787971974,0.01057248255196489,0.0018404036505627185,0.42145334394073297
ta,indicvoices_ta_14,0,15,0.03985716500855912,0.004325653653499377,0.001568718744962652,0.3667075961315853
ta,indicvoices_ta_15,0,15,0.07990851815193271,0.004635056900718808,0.002390055377650289,0.7243854642955417
ta,indicvoices_ta_16,0,15,0.27235997147896185,0.04436521074863534,0.0020555044134629324,0.9402216276378336
ta,indicvoices_ta_17,0,15,0.14457585171607143,0.009986225712570152,0.0018357150797277124,0.9597360937413805
ta,indicvoices_ta_18,0,15,0.1225816485084691,0.005388692751660355,0.002216870356351983,0.9100041436913079
ta,indicvoices_ta_19,0,15,0.08972435803815379,0.0052875967687114125,0.0015791550870845844,0.7881694183215557
ta,indicvoices_ta_2,0,15,0.04947705563970566,0.006331957738153266,0.0015922357464603324,0.5522055535035039
ta,indicvoices_ta_3,0,15,0.10496001857904784,0.00524922364412709,0.0015053824721462485,0.8555510377314351
ta,indicvoices_ta_4,0,15,0.11095885427830153,0.007125779316680405,0.0022148148995973288,0.9013112218829107
ta,indicvoices_ta_5,0,15,0.161626978787452,0.008278367347290068,0.001628217559682064,0.7796088039585864
ta,indicvoices_ta_6,0,15,0.07140783881199493,0.00876044864888313,0.0022853957439635283,0.6746105305316832
ta,indicvoices_ta_7,0,15,0.1223472777901562,0.008648822402160779,0.0013938603357658336,0.9428915514868431
ta,indicvoices_ta_8,0,15,0.01852828573815393,0.006093824752042777,0.0023772037993787373,0.06990009750317684
ta,indicvoices_ta_9,0,15,0.019446485987922226,0.005468652321003714,0.0019765264174510036,0.11831208245468292
ta,synth_ta_0,1,15,0.9673671291306222,0.9805553456942172,0.8864763773799077,0.9958392883868501
ta,synth_ta_1,1,15,0.9520017766384901,0.9772622238461595,0.8651918517239956,0.991662878227542
ta,synth_ta_10,1,15,0.9772570209996014,0.9874697602263619,0.9177509092715147,0.9964516197975298
ta,synth_ta_11,1,15,0.9480622987034745,0.9818668117710542,0.5723933496239201,0.9917666097940891
ta,synth_ta_12,1,15,0.9646758614495906,0.9786974272535648,0.8870073491582835,0.9909096650025001
ta,synth_ta_13,1,15,0.9289161478127564,0.9828174135039763,0.6577759474039065,0.992090254416208
ta,synth_ta_14,1,15,0.922361685667968,0.9770250101367512,0.4591584583775325,0.987705085074831
ta,synth_ta_15,1,15,0.923494459407851,0.9821767605484221,0.38314623524774755,0.9921027095461548
ta,synth_ta_16,1,15,0.9752731368878453,0.9884319495805421,0.8536920690892031,0.9916774503086352
ta,synth_ta_17,1,15,0.9342616701179017,0.9833077534257783,0.6851441300193127,0.9934946782518898
ta,synth_ta_18,1,15,0.899267811751687,0.9815261566246831,0.19919473732297377,0.9940802739476831
ta,synth_ta_19,1,15,0.968063883364328,0.9813657817665934,0.873056845947402,0.9926882840716476
ta,synth_ta_2,1,15,0.7717158839799516,0.972669742426622,0.029391861586245564,0.9941030785408279
ta,synth_ta_3,1,15,0.9106043184558037,0.9841205737399639,0.004316715659618689,0.9933768765198934
ta,synth_ta_4,1,15,0.9526818197513691,0.9721672040798321,0.7925841889793804,0.9941813544745242
ta,synth_ta_5,1,15,0.9487964659120812,0.990758602189846,0.4582725867686781,0.9946585001981174
ta,synth_ta_6,1,15,0.9333642276294605,0.9878567229494504,0.40693352573921093,0.9957019976848593
ta,synth_ta_7,1,15,0.9134679395836495,0.9818552439698435,0.35932750228547217,0.9884776489858871
