language,group,label,n,mean_probability,median_probability,std_probability,fraction_over_50
en,indic_synth_en_0,1,10,0.9518014290492625,0.9686553369786272,0.04463444994732115,1.0
en,indic_synth_en_1,1,10,0.892944318075606,0.9398509739054344,0.11315214289529427,1.0
en,indic_synth_en_10,1,10,0.9141969128080698,0.92587239165507,0.07245915485144874,1.0
en,indic_synth_en_11,1,10,0.8358489910257111,0.8910039124647064,0.11992849168715179,1.0
en,indic_synth_en_12,1,10,0.7520511545142066,0.8892839348459065,0.2972542652488449,0.8
en,indic_synth_en_13,1,10,0.9099818767107761,0.9268394937025234,0.06547998800776177,1.0
en,indic_synth_en_14,1,10,0.9008005247548259,0.9529220930559152,0.13304277866659367,1.0
en,indic_synth_en_2,1,10,0.8544192656479621,0.8986681706929066,0.1367963533039112,1.0
en,indic_synth_en_3,1,10,0.7258294439898361,0.8505558496461896,0.2977030778390365,0.8
en,indic_synth_en_4,1,10,0.8941264526813674,0.9466185942968877,0.12568377382865709,1.0
en,indic_synth_en_5,1,10,0.9224597569945343,0.9813455094756418,0.13396665548066666,1.0
en,indic_synth_en_6,1,10,0.8230146714633969,0.932703122979297,0.2650826833623251,0.9
en,indic_synth_en_7,1,10,0.7879154345649035,0.9408072639368261,0.2956382169423575,0.9
en,indic_synth_en_8,1,10,0.86231484664685,0.9614323518078969,0.2548977367358504,0.9
en,indic_synth_en_9,1,10,0.8771917540010976,0.9663169255913563,0.21549374378753974,0.9
en,svarah_0,0,8,0.24424132203831014,0.037816568846285835,0.3822127484681855,0.25
en,svarah_1,0,8,0.2669966132815008,0.15756674757353883,0.32293051749533896,0.125
en,svarah_10,0,7,0.05309244387853724,0.05509934535258621,0.0392590641286889,0.0
en,svarah_11,0,7,0.1752737776816997,0.016961252004090106,0.2792285869196417,0.2857142857142857
en,svarah_12,0,7,0.22249429212028707,0.15436621161008382,0.2202963231373014,0.0
en,svarah_13,0,7,0.07979571636989999,0.005596246663944468,0.1329531548369573,0.0
en,svarah_14,0,7,0.13743387036981208,0.10507699916526064,0.15798689464789376,0.0
en,svarah_15,0,7,0.087348091754111,0.0808976409676699,0.07743089147367163,0.0
en,svarah_16,0,7,0.09236656728587019,0.07056180426491304,0.08946709556191512,0.0
en,svarah_17,0,7,0.1758450706243416,0.09471589898034838,0.2791878234651775,0.14285714285714285
en,svarah_18,0,7,0.1337551375803028,0.05734500763065816,0.22377327746370396,0.14285714285714285
en,svarah_19,0,7,0.08482067538859643,0.0370044426519384,0.08771951975269032,0.0
en,svarah_2,0,8,0.16312190481171146,0.07622270267697526,0.2546452612192606,0.125
en,svarah_3,0,8,0.2743177512568145,0.15216188432750877,0.29834688221154393,0.25
en,svarah_4,0,8,0.14120574192293642,0.00899865320997845,0.25328046683301625,0.125
en,svarah_5,0,8,0.23518027888860277,0.20063523874156644,0.22886714615140313,0.25
en,svarah_6,0,8,0.16070167566648935,0.08639324408906159,0.2102921626498182,0.125
en,svarah_7,0,8,0.24865031346438948,0.1000938145016094,0.31696204473886574,0.25
en,svarah_8,0,8,0.16618691397177454,0.05302269317300423,0.2741186107509399,0.125
en,svarah_9,0,8,0.1760468460502847,0.06868230518942513,0.227234850645504,0.25
en,west_real_0,0,10,0.12536834420991008,0.0345485155155404,0.25020179097127265,0.1
en,west_real_1,0,10,0.2329168367182029,0.11595174593384887,0.31156121748486304,0.2
en,west_real_10,0,10,0.15098879828609868,0.026512968681967154,0.24582036123493334,0.1
en,west_real_11,0,10,0.12441136617136292,0.02266734459001618,0.2555604221065461,0.1
en,west_real_12,0,10,0.21801781548885407,0.031943978290449176,0.3640181577254508,0.2
en,west_real_13,0,10,0.1105918372923235,0.11501318847242654,0.10097195685088937,0.0
en,west_real_14,0,10,0.21294203942521062,0.19237542695425996,0.2149036755967556,0.1
en,west_real_2,0,10,0.3208292821045632,0.23997645354532987,0.32215152623290555,0.4
en,west_real_3,0,10,0.31377554069876445,0.11734396240224773,0.3978514457730109,0.3
en,west_real_4,0,10,0.1546784628072873,0.028566061516555982,0.21571090577742047,0.1
en,west_real_5,0,10,0.18025828842813013,0.051813903852363286,0.23824848112705863,0.2
en,west_real_6,0,10,0.1967030537567585,0.023660739737846638,0.29197162493463685,0.2
en,west_real_7,0,10,0.331823887073024,0.21968642972584243,0.36020583355146313,0.3
en,west_real_8,0,10,0.28488594818967233,0.03850722998402865,0.38289474011495883,0.3
en,west_real_9,0,10,0.13015483794514024,0.014928306009805433,0.29230497350360024,0.1
en,west_synth_0,1,10,0.8430846105267144,0.9047628645542221,0.17831565285376497,0.9
en,west_synth_1,1,10,0.7826590209220476,0.8541908803127243,0.22952776918189036,0.9
en,west_synth_10,1,10,0.8029522838689376,0.8822424316448543,0.2501335605608143,0.9
en,west_synth_11,1,10,0.802181434547038,0.9262070417865965,0.2807801741728969,0.9
en,west_synth_12,1,10,0.872732150170013,0.9476791258522688,0.20429513157548082,0.9
en,west_synth_13,1,10,0.7117177049986024,0.8912239146392051,0.3618146358845448,0.8
en,west_synth_14,1,10,0.8013446700323741,0.9401475631331151,0.28723080745121304,0.8
en,west_synth_2,1,10,0.8089031203738815,0.900026684482937,0.17186700164231186,1.0
en,west_synth_3,1,10,0.7983822712160202,0.9051024585786301,0.23107196736440833,0.8
en,west_synth_4,1,10,0.7852254329401288,0.9502386813267656,0.2869184855887467,0.8
en,west_synth_5,1,10,0.7421676121180282,0.802938291833664,0.29810048453424276,0.8
en,west_synth_6,1,10,0.7965346390448649,0.9370946746814358,0.27158250250459465,0.8
en,west_synth_7,1,10,0.6611012589573597,0.8535477445813996,0.3815410302212457,0.7
en,west_synth_8,1,10,0.8549010887582649,0.9309753576377928,0.15584184995744937,1.0
en,west_synth_9,1,10,0.7924676207643641,0.8941743762614425,0.2494089997714291,0.9
hi,real_hi_0,0,15,0.3157529167140566,0.22364363511098273,0.25864716179225655,0.2
hi,real_hi_1,0,15,0.35068050837906795,0.31778391281211804,0.17047626393133022,0.13333333333333333
hi,real_hi_10,0,15,0.35439888161852884,0.30112700761317196,0.26747117264450526,0.26666666666666666
hi,real_hi_11,0,15,0.362548447380444,0.18021696900654618,0.3014325426285586,0.26666666666666666
hi,real_hi_12,0,15,0.2803309418321969,0.2784452806154554,0.22050162698948464,0.13333333333333333
hi,real_hi_13,0,15,0.458615666621148,0.4959666781361042,0.31213556993609354,0.4666666666666667
hi,real_hi_14,0,15,0.3038446247528301,0.3117632948532835,0.20989291239298796,0.06666666666666667
hi,real_hi_15,0,15,0.34544202037916505,0.1957589290486261,0.3235534572442985,0.2
hi,real_hi_16,0,15,0.4138427380515306,0.41225920677119726,0.2880881281355637,0.26666666666666666
hi,real_hi_17,0,15,0.33726607242703555,0.14081981888441258,0.34200674160413064,0.3333333333333333
hi,real_hi_18,0,15,0.32083967685021786,0.21473861180207282,0.23280376185367055,0.26666666666666666
hi,real_hi_19,0,15,0.36770857340186613,0.31258696289072124,0.2713268129707851,0.26666666666666666
hi,real_hi_2,0,15,0.28593380624846526,0.1589313510475126,0.2668794573907747,0.2
hi,real_hi_3,0,15,0.2785440196620739,0.21724297747878463,0.23113733943744996,0.2
hi,real_hi_4,0,15,0.17829131473513124,0.1414013682560806,0.12696615057488203,0.06666666666666667
hi,real_hi_5,0,15,0.3299265058794926,0.22944661834261196,0.2545511471843315,0.26666666666666666
hi,real_hi_6,0,15,0.3384605501311413,0.22810702068099253,0.2640322576149888,0.26666666666666666
hi,real_hi_7,0,15,0.4530518041984068,0.29067960864839226,0.3282917066146829,0.26666666666666666
hi,real_hi_8,0,15,0.42601252159410813,0.4177677139364658,0.21422911150727947,0.3333333333333333
hi,real_hi_9,0,15,0.3700792603027349,0.3335631376260903,0.2865404823609318,0.3333333333333333
hi,synth_hi_0,1,15,0.7349597205112927,0.8772644880496658,0.27341460468813633,0.8
hi,synth_hi_1,1,15,0.6406737759228457,0.7479019045867745,0.282192763065855,0.6666666666666666
hi,synth_hi_10,1,15,0.5978546265185275,0.7271440610281046,0.3053018802328952,0.6666666666666666
hi,synth_hi_11,1,15,0.628815447776211,0.7338990050392569,0.26905673849832024,0.6666666666666666
hi,synth_hi_12,1,15,0.6284380058606909,0.6594037833991908,0.30812184143236715,0.7333333333333333
hi,synth_hi_13,1,15,0.6272707948276633,0.5811176719964423,0.3051108554326163,0.7333333333333333
hi,synth_hi_14,1,15,0.6252719377657432,0.70499243331812,0.20875711106804412,0.8
hi,synth_hi_15,1,15,0.6458685861274828,0.7527074516328295,0.28036096417911005,0.6666666666666666
hi,synth_hi_16,1,15,0.625782207517364,0.8038476005565305,0.3055417939183598,0.6
