filepath,engine
data/raw/spoof_hi/synth_hi_4/spoof_hi_0205.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0005.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0165.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0065.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0105.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0265.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0285.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0125.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0045.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0245.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0085.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0225.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0185.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0145.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_4/spoof_hi_0025.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0204.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0164.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0004.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0104.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0064.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0264.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0044.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0124.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0284.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0084.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0244.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0184.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0224.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0024.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_3/spoof_hi_0144.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0203.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0003.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0163.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0063.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0103.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0263.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0283.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0123.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0043.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0243.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0083.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0223.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0183.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0143.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_2/spoof_hi_0023.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0006.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0166.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0206.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0266.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0066.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0106.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0246.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0086.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0286.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0126.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0046.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0146.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0026.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0226.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_5/spoof_hi_0186.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_19/spoof_hi_0160.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_19/spoof_hi_0200.wav,Commercial-Clone
data/raw/spoof_hi/synth_hi_19/spoof_hi_0300.wav,Commercial-Clone
